Date,Value
2008-01-01,118
2008-01-02,117
2008-01-03,117
2008-01-04,117
2008-01-05,117
2008-01-06,117
2008-01-07,117
2008-01-08,117
2008-01-09,116
2008-01-10,116
2008-01-11,115
2008-01-12,114
2008-01-13,113
2008-01-14,112
2008-01-15,111
2008-01-16,110
2008-01-17,109
2008-01-18,108
2008-01-19,107
2008-01-20,107
2008-01-21,106
2008-01-22,105
2008-01-23,104
2008-01-24,103
2008-01-25,102
2008-01-26,102
2008-01-27,102
2008-01-28,101
2008-01-29,101
2008-01-30,101
2008-01-31,101
2008-02-01,100
2008-02-02,100
2008-02-03,99
2008-02-04,99
2008-02-05,99
2008-02-06,99
2008-02-07,98
2008-02-08,98
2008-02-09,98
2008-02-10,98
2008-02-11,98
2008-02-12,98
2008-02-13,98
2008-02-14,98
2008-02-15,98
2008-02-16,98
2008-02-17,97
2008-02-18,97
2008-02-19,97
2008-02-20,97
2008-02-21,97
2008-02-22,97
2008-02-23,97
2008-02-24,97
2008-02-25,97
2008-02-26,97
2008-02-27,97
2008-02-28,97
2008-02-29,97
2008-03-01,97
2008-03-02,97
2008-03-03,97
2008-03-04,97
2008-03-05,98
2008-03-06,98
2008-03-07,99
2008-03-08,99
2008-03-09,99
2008-03-10,99
2008-03-11,99
2008-03-12,99
2008-03-13,99
2008-03-14,99
2008-03-15,99
2008-03-16,98
2008-03-17,98
2008-03-18,98
2008-03-19,98
2008-03-20,98
2008-03-21,98
2008-03-22,99
2008-03-23,99
2008-03-24,99
2008-03-25,100
2008-03-26,101
2008-03-27,102
2008-03-28,103
2008-03-29,107
2008-03-30,110
2008-03-31,111
2008-04-01,113
2008-04-02,115
2008-04-03,117
2008-04-04,128
2008-04-05,131
2008-04-06,138
2008-04-07,149
2008-04-08,151
2008-04-09,155
2008-04-10,166
2008-04-11,183
2008-04-12,199
2008-04-13,217
2008-04-14,235
2008-04-15,250
2008-04-16,260
2008-04-17,263
2008-04-18,261
2008-04-19,257
2008-04-20,242
2008-04-21,234
2008-04-22,233
2008-04-23,239
2008-04-24,247
2008-04-25,255
2008-04-26,262
2008-04-27,267
2008-04-28,267
2008-04-29,268
2008-04-30,267
2008-05-01,266
2008-05-02,265
2008-05-03,264
2008-05-04,262
2008-05-05,260
2008-05-06,259
2008-05-07,259
2008-05-08,258
2008-05-09,258
2008-05-10,258
2008-05-11,259
2008-05-12,259
2008-05-13,259
2008-05-14,258
2008-05-15,257
2008-05-16,254
2008-05-17,251
2008-05-18,247
2008-05-19,246
2008-05-20,249
2008-05-21,252
2008-05-22,255
2008-05-23,259
2008-05-24,261
2008-05-25,263
2008-05-26,264
2008-05-27,263
2008-05-28,263
2008-05-29,265
2008-05-30,267
2008-05-31,271
2008-06-01,277
2008-06-02,283
2008-06-03,296
2008-06-04,305
2008-06-05,309
2008-06-06,312
2008-06-07,316
2008-06-08,321
2008-06-09,325
2008-06-10,329
2008-06-11,330
2008-06-12,326
2008-06-13,322
2008-06-14,318
2008-06-15,313
2008-06-16,304
2008-06-17,294
2008-06-18,280
2008-06-19,273
2008-06-20,266
2008-06-21,256
2008-06-22,240
2008-06-23,228
2008-06-24,214
2008-06-25,204
2008-06-26,194
2008-06-27,186
2008-06-28,178
2008-06-29,169
2008-06-30,159
2008-07-01,148
2008-07-02,145
2008-07-03,144
2008-07-04,143
2008-07-05,142
2008-07-06,141
2008-07-07,140
2008-07-08,139
2008-07-09,135
2008-07-10,131
2008-07-11,127
2008-07-12,124
2008-07-13,122
2008-07-14,120
2008-07-15,118
2008-07-16,116
2008-07-17,113
2008-07-18,111
2008-07-19,109
2008-07-20,107
2008-07-21,105
2008-07-22,102
2008-07-23,97
2008-07-24,93
2008-07-25,89
2008-07-26,86
2008-07-27,84
2008-07-28,82
2008-07-29,80
2008-07-30,78
2008-07-31,76
2008-08-01,76
2008-08-02,76
2008-08-03,75
2008-08-04,75
2008-08-05,74
2008-08-06,73
2008-08-07,73
