year,month,month_name,monthly_temp_min_avg,monthly_temp_max_avg,monthly_temp_avg,monthly_min_temp,monthly_max_temp,monthly_precipitation_mm,days_with_precipitation,days_count
2012,1,январь,-24.23,-14.74,-19.48,-36,-3,0,0,31
2012,2,февраль,-24.1,-9.55,-16.83,-36,3,0,0,29
2012,3,март,-13.03,-1.19,-7.11,-24,6,31,10,31
2012,4,апрель,0.47,11.07,5.77,-6,27,34,9,30
2012,5,май,4.61,17.45,11.03,-3,30,20,5,31
2012,6,июнь,13.23,26.2,19.72,8,33,22,4,30
2012,7,июль,13.61,26.97,20.29,7,36,19,3,31
2012,8,август,9.42,22.45,15.94,1,32,35,4,31
2012,9,сентябрь,6.0,15.67,10.83,-3,25,90,13,30
2012,10,октябрь,-0.16,9.52,4.68,-6,20,37,9,31
2012,11,ноябрь,-10.47,-4.0,-7.23,-26,2,46,14,30
2012,12,декабрь,-26.74,-17.26,-22.0,-42,-2,13,5,31
2013,1,январь,-25.1,-15.48,-20.29,-38,-4,24,8,31
2013,2,февраль,-19.86,-6.75,-13.3,-28,-1,16,6,28
2013,3,март,-17.68,-5.45,-11.56,-43,9,26,10,31
2013,4,апрель,-1.67,7.5,2.92,-14,17,36,8,30
2013,5,май,2.9,13.48,8.19,-3,26,64,11,31
2013,6,июнь,9.27,22.23,15.75,-1,33,63,6,30
2013,7,июль,13.35,25.48,19.42,6,31,76,9,31
2013,8,август,10.39,22.65,16.52,1,28,35,6,31
2013,9,сентябрь,4.37,14.17,9.27,-2,22,29,7,30
2013,10,октябрь,-2.58,4.9,1.16,-11,10,46,11,31
2013,11,ноябрь,-3.17,2.43,-0.37,-10,9,34,7,30
2013,12,декабрь,-14.81,-6.97,-10.89,-32,1,23,8,31
2014,1,январь,-22.19,-13.19,-17.69,-42,-1,24,10,31
2014,2,февраль,-24.86,-14.75,-19.8,-39,0,24,7,28
2014,3,март,-7.39,1.35,-3.02,-19,9,40,9,31
2014,4,апрель,-3.47,7.07,1.8,-14,18,39,8,30
2014,5,май,4.16,16.77,10.47,-3,32,32,6,31
2014,6,июнь,8.6,21.57,15.08,-1,30,36,8,30
2014,7,июль,9.58,19.39,14.48,4,29,82,8,31
