date,year,month,month_name,day,temperature_min,temperature_max,temperature_avg
2012-01-01,2012,1,январь,1,-12,-6,-9.0
2012-01-02,2012,1,январь,2,-15,-8,-11.5
2012-01-03,2012,1,январь,3,-15,-13,-14.0
2012-01-04,2012,1,январь,4,-22,-13,-17.5
2012-01-05,2012,1,январь,5,-24,-17,-20.5
2012-01-06,2012,1,январь,6,-20,-9,-14.5
2012-01-07,2012,1,январь,7,-15,-3,-9.0
2012-01-08,2012,1,январь,8,-12,-5,-8.5
2012-01-09,2012,1,январь,9,-19,-6,-12.5
2012-01-10,2012,1,январь,10,-22,-12,-17.0
2012-01-11,2012,1,январь,11,-22,-14,-18.0
2012-01-12,2012,1,январь,12,-21,-14,-17.5
2012-01-13,2012,1,январь,13,-22,-14,-18.0
2012-01-14,2012,1,январь,14,-23,-12,-17.5
2012-01-15,2012,1,январь,15,-21,-11,-16.0
2012-01-16,2012,1,январь,16,-32,-21,-26.5
2012-01-17,2012,1,январь,17,-34,-27,-30.5
2012-01-18,2012,1,январь,18,-32,-22,-27.0
2012-01-19,2012,1,январь,19,-24,-18,-21.0
2012-01-20,2012,1,январь,20,-28,-20,-24.0
2012-01-21,2012,1,январь,21,-31,-17,-24.0
2012-01-22,2012,1,январь,22,-30,-16,-23.0
2012-01-23,2012,1,январь,23,-25,-8,-16.5
2012-01-24,2012,1,январь,24,-28,-15,-21.5
2012-01-25,2012,1,январь,25,-29,-19,-24.0
2012-01-26,2012,1,январь,26,-29,-16,-22.5
2012-01-27,2012,1,январь,27,-27,-15,-21.0
2012-01-28,2012,1,январь,28,-23,-16,-19.5
2012-01-29,2012,1,январь,29,-25,-16,-20.5
2012-01-30,2012,1,январь,30,-33,-25,-29.0
2012-01-31,2012,1,январь,31,-36,-29,-32.5
2012-02-01,2012,2,февраль,1,-36,3,-16.5
2012-02-02,2012,2,февраль,2,-32,-24,-28.0
2012-02-03,2012,2,февраль,3,-31,-10,-20.5
2012-02-04,2012,2,февраль,4,-14,-7,-10.5
2012-02-05,2012,2,февраль,5,-11,-7,-9.0
2012-02-06,2012,2,февраль,6,-14,-11,-12.5
2012-02-07,2012,2,февраль,7,-23,-14,-18.5
2012-02-08,2012,2,февраль,8,-27,-16,-21.5
2012-02-09,2012,2,февраль,9,-33,-18,-25.5
2012-02-10,2012,2,февраль,10,-30,-14,-22.0
2012-02-11,2012,2,февраль,11,-29,-10,-19.5
2012-02-12,2012,2,февраль,12,-20,-13,-16.5
2012-02-13,2012,2,февраль,13,-25,-12,-18.5
2012-02-14,2012,2,февраль,14,-27,-10,-18.5
2012-02-15,2012,2,февраль,15,-26,-11,-18.5
2012-02-16,2012,2,февраль,16,-25,-14,-19.5
2012-02-17,2012,2,февраль,17,-29,-9,-19.0
2012-02-18,2012,2,февраль,18,-25,-7,-16.0
2012-02-19,2012,2,февраль,19,-18,-6,-12.0
2012-02-20,2012,2,февраль,20,-25,-9,-17.0
2012-02-21,2012,2,февраль,21,-26,-4,-15.0
2012-02-22,2012,2,февраль,22,-26,-7,-16.5
2012-02-23,2012,2,февраль,23,-20,-6,-13.0
2012-02-24,2012,2,февраль,24,-20,-6,-13.0
2012-02-25,2012,2,февраль,25,-18,-6,-12.0
2012-02-26,2012,2,февраль,26,-23,-4,-13.5
2012-02-27,2012,2,февраль,27,-25,-7,-16.0
2012-02-28,2012,2,февраль,28,-22,-9,-15.5
2012-02-29,2012,2,февраль,29,-19,-9,-14.0
2012-03-01,2012,3,март,1,-23,-8,-15.5
2012-03-02,2012,3,март,2,-9,-1,-5.0
2012-03-03,2012,3,март,3,-14,-3,-8.5
2012-03-04,2012,3,март,4,-19,-3,-11.0
2012-03-05,2012,3,март,5,-17,-1,-9.0
2012-03-06,2012,3,март,6,-13,0,-6.5
2012-03-07,2012,3,март,7,-5,1,-2.0
2012-03-08,2012,3,март,8,-15,2,-6.5
2012-03-09,2012,3,март,9,-8,-1,-4.5
2012-03-10,2012,3,март,10,-12,-3,-7.5
2012-03-11,2012,3,март,11,-15,-1,-8.0
2012-03-12,2012,3,март,12,-21,-3,-12.0
2012-03-13,2012,3,март,13,-22,-3,-12.5
2012-03-14,2012,3,март,14,-15,-3,-9.0
2012-03-15,2012,3,март,15,-18,-4,-11.0
2012-03-16,2012,3,март,16,-6,-1,-3.5
2012-03-17,2012,3,март,17,-7,-3,-5.0
2012-03-18,2012,3,март,18,-17,-4,-10.5
2012-03-19,2012,3,март,19,-16,-5,-10.5
2012-03-20,2012,3,март,20,-16,0,-8.0
2012-03-21,2012,3,март,21,-17,-2,-9.5
2012-03-22,2012,3,март,22,-5,4,-0.5
2012-03-23,2012,3,март,23,-7,1,-3.0
2012-03-24,2012,3,март,24,-19,-5,-12.0
2012-03-25,2012,3,март,25,-12,-2,-7.0
2012-03-26,2012,3,март,26,-14,-3,-8.5
2012-03-27,2012,3,март,27,-24,2,-11.0
2012-03-28,2012,3,март,28,-7,2,-2.5
2012-03-29,2012,3,март,29,-4,1,-1.5
2012-03-30,2012,3,март,30,-6,3,-1.5
2012-03-31,2012,3,март,31,-1,6,2.5
2012-04-01,2012,4,апрель,1,-5,4,-0.5
2012-04-02,2012,4,апрель,2,0,9,4.5
2012-04-03,2012,4,апрель,3,3,8,5.5
2012-04-04,2012,4,апрель,4,0,5,2.5
2012-04-05,2012,4,апрель,5,-2,6,2.0
2012-04-06,2012,4,апрель,6,-2,3,0.5
2012-04-07,2012,4,апрель,7,-4,4,0.0
2012-04-08,2012,4,апрель,8,-6,5,-0.5
2012-04-09,2012,4,апрель,9,1,19,10.0
2012-04-10,2012,4,апрель,10,3,21,12.0
2012-04-11,2012,4,апрель,11,0,15,7.5
2012-04-12,2012,4,апрель,12,0,3,1.5
2012-04-13,2012,4,апрель,13,-1,5,2.0
2012-04-14,2012,4,апрель,14,-3,14,5.5
2012-04-15,2012,4,апрель,15,7,11,9.0
2012-04-16,2012,4,апрель,16,5,15,10.0
2012-04-17,2012,4,апрель,17,3,12,7.5
2012-04-18,2012,4,апрель,18,2,14,8.0
2012-04-19,2012,4,апрель,19,3,27,15.0
2012-04-20,2012,4,апрель,20,3,12,7.5
2012-04-21,2012,4,апрель,21,-2,8,3.0
2012-04-22,2012,4,апрель,22,-4,15,5.5
2012-04-23,2012,4,апрель,23,2,23,12.5
2012-04-24,2012,4,апрель,24,6,23,14.5
2012-04-25,2012,4,апрель,25,2,8,5.0
2012-04-26,2012,4,апрель,26,2,9,5.5
2012-04-27,2012,4,апрель,27,1,6,3.5
2012-04-28,2012,4,апрель,28,-2,12,5.0
2012-04-29,2012,4,апрель,29,4,10,7.0
2012-04-30,2012,4,апрель,30,-2,6,2.0
2012-05-01,2012,5,май,1,-1,11,5.0
2012-05-02,2012,5,май,2,0,13,6.5
2012-05-03,2012,5,май,3,3,13,8.0
2012-05-04,2012,5,май,4,2,9,5.5
2012-05-05,2012,5,май,5,-1,11,5.0
2012-05-06,2012,5,май,6,-2,8,3.0
2012-05-07,2012,5,май,7,-3,12,4.5
2012-05-08,2012,5,май,8,-1,10,4.5
2012-05-09,2012,5,май,9,1,15,8.0
2012-05-10,2012,5,май,10,7,16,11.5
2012-05-11,2012,5,май,11,6,15,10.5
2012-05-12,2012,5,май,12,7,18,12.5
2012-05-13,2012,5,май,13,4,27,15.5
2012-05-14,2012,5,май,14,10,22,16.0
2012-05-15,2012,5,май,15,4,12,8.0
2012-05-16,2012,5,май,16,2,14,8.0
2012-05-17,2012,5,май,17,3,18,10.5
2012-05-18,2012,5,май,18,7,15,11.0
2012-05-19,2012,5,май,19,1,18,9.5
2012-05-20,2012,5,май,20,9,24,16.5
2012-05-21,2012,5,май,21,6,19,12.5
2012-05-22,2012,5,май,22,10,26,18.0
2012-05-23,2012,5,май,23,9,19,14.0
2012-05-24,2012,5,май,24,4,10,7.0
2012-05-25,2012,5,май,25,1,13,7.0
2012-05-26,2012,5,май,26,0,21,10.5
2012-05-27,2012,5,май,27,10,17,13.5
2012-05-28,2012,5,май,28,8,28,18.0
2012-05-29,2012,5,май,29,10,30,20.0
2012-05-30,2012,5,май,30,13,29,21.0
2012-05-31,2012,5,май,31,14,28,21.0
2012-06-01,2012,6,июнь,1,11,30,20.5
2012-06-02,2012,6,июнь,2,13,31,22.0
2012-06-03,2012,6,июнь,3,15,33,24.0
2012-06-04,2012,6,июнь,4,18,31,24.5
2012-06-05,2012,6,июнь,5,15,27,21.0
2012-06-06,2012,6,июнь,6,11,19,15.0
2012-06-07,2012,6,июнь,7,8,21,14.5
2012-06-08,2012,6,июнь,8,12,26,19.0
2012-06-09,2012,6,июнь,9,11,28,19.5
2012-06-10,2012,6,июнь,10,13,31,22.0
2012-06-11,2012,6,июнь,11,14,27,20.5
2012-06-12,2012,6,июнь,12,14,23,18.5
2012-06-13,2012,6,июнь,13,11,21,16.0
2012-06-14,2012,6,июнь,14,13,23,18.0
2012-06-15,2012,6,июнь,15,13,27,20.0
2012-06-16,2012,6,июнь,16,13,27,20.0
2012-06-17,2012,6,июнь,17,16,26,21.0
2012-06-18,2012,6,июнь,18,14,31,22.5
2012-06-19,2012,6,июнь,19,16,29,22.5
2012-06-20,2012,6,июнь,20,15,28,21.5
2012-06-21,2012,6,июнь,21,15,30,22.5
2012-06-22,2012,6,июнь,22,13,30,21.5
2012-06-23,2012,6,июнь,23,14,31,22.5
2012-06-24,2012,6,июнь,24,16,30,23.0
2012-06-25,2012,6,июнь,25,10,20,15.0
2012-06-26,2012,6,июнь,26,11,20,15.5
2012-06-27,2012,6,июнь,27,12,16,14.0
2012-06-28,2012,6,июнь,28,11,17,14.0
2012-06-29,2012,6,июнь,29,15,26,20.5
2012-06-30,2012,6,июнь,30,14,27,20.5
2012-07-01,2012,7,июль,1,13,27,20.0
2012-07-02,2012,7,июль,2,13,28,20.5
2012-07-03,2012,7,июль,3,16,29,22.5
2012-07-04,2012,7,июль,4,12,31,21.5
2012-07-05,2012,7,июль,5,18,33,25.5
2012-07-06,2012,7,июль,6,14,26,20.0
2012-07-07,2012,7,июль,7,10,21,15.5
2012-07-08,2012,7,июль,8,7,17,12.0
2012-07-09,2012,7,июль,9,8,24,16.0
2012-07-10,2012,7,июль,10,13,27,20.0
2012-07-11,2012,7,июль,11,15,28,21.5
2012-07-12,2012,7,июль,12,9,29,19.0
2012-07-13,2012,7,июль,13,16,31,23.5
2012-07-14,2012,7,июль,14,16,31,23.5
2012-07-15,2012,7,июль,15,17,32,24.5
2012-07-16,2012,7,июль,16,17,33,25.0
2012-07-17,2012,7,июль,17,19,30,24.5
2012-07-18,2012,7,июль,18,14,33,23.5
2012-07-19,2012,7,июль,19,16,36,26.0
2012-07-20,2012,7,июль,20,18,31,24.5
2012-07-21,2012,7,июль,21,17,26,21.5
2012-07-22,2012,7,июль,22,14,25,19.5
2012-07-23,2012,7,июль,23,13,25,19.0
2012-07-24,2012,7,июль,24,11,24,17.5
2012-07-25,2012,7,июль,25,10,23,16.5
2012-07-26,2012,7,июль,26,14,21,17.5
2012-07-27,2012,7,июль,27,11,25,18.0
2012-07-28,2012,7,июль,28,11,27,19.0
2012-07-29,2012,7,июль,29,11,22,16.5
2012-07-30,2012,7,июль,30,14,20,17.0
2012-07-31,2012,7,июль,31,15,21,18.0
2012-08-01,2012,8,август,1,15,24,19.5
2012-08-02,2012,8,август,2,12,26,19.0
2012-08-03,2012,8,август,3,7,24,15.5
2012-08-04,2012,8,август,4,12,27,19.5
2012-08-05,2012,8,август,5,11,24,17.5
2012-08-06,2012,8,август,6,9,31,20.0
2012-08-07,2012,8,август,7,16,24,20.0
2012-08-08,2012,8,август,8,12,22,17.0
2012-08-09,2012,8,август,9,8,29,18.5
2012-08-10,2012,8,август,10,15,32,23.5
2012-08-11,2012,8,август,11,17,26,21.5
2012-08-12,2012,8,август,12,18,20,19.0
2012-08-13,2012,8,август,13,13,22,17.5
2012-08-14,2012,8,август,14,12,21,16.5
2012-08-15,2012,8,август,15,8,21,14.5
2012-08-16,2012,8,август,16,8,17,12.5
2012-08-17,2012,8,август,17,4,17,10.5
2012-08-18,2012,8,август,18,2,20,11.0
2012-08-19,2012,8,август,19,11,26,18.5
2012-08-20,2012,8,август,20,9,16,12.5
2012-08-21,2012,8,август,21,6,23,14.5
2012-08-22,2012,8,август,22,3,16,9.5
2012-08-23,2012,8,август,23,1,18,9.5
2012-08-24,2012,8,август,24,7,20,13.5
2012-08-25,2012,8,август,25,4,20,12.0
2012-08-26,2012,8,август,26,7,20,13.5
2012-08-27,2012,8,август,27,11,20,15.5
2012-08-28,2012,8,август,28,9,23,16.0
2012-08-29,2012,8,август,29,4,22,13.0
2012-08-30,2012,8,август,30,7,25,16.0
2012-08-31,2012,8,август,31,14,20,17.0
2012-09-01,2012,9,сентябрь,1,13,25,19.0
2012-09-02,2012,9,сентябрь,2,8,15,11.5
2012-09-03,2012,9,сентябрь,3,8,12,10.0
2012-09-04,2012,9,сентябрь,4,6,11,8.5
2012-09-05,2012,9,сентябрь,5,5,11,8.0
2012-09-06,2012,9,сентябрь,6,0,19,9.5
2012-09-07,2012,9,сентябрь,7,7,20,13.5
2012-09-08,2012,9,сентябрь,8,10,25,17.5
2012-09-09,2012,9,сентябрь,9,14,22,18.0
2012-09-10,2012,9,сентябрь,10,8,25,16.5
2012-09-11,2012,9,сентябрь,11,12,22,17.0
2012-09-12,2012,9,сентябрь,12,7,15,11.0
2012-09-13,2012,9,сентябрь,13,5,13,9.0
2012-09-14,2012,9,сентябрь,14,6,12,9.0
2012-09-15,2012,9,сентябрь,15,5,13,9.0
